person;rating;review_bersih
141;1;lelah kali langgan service bca blokir
142;1;kena scam fraud bentuk tipu bank tanggung refund kembali batas lapor hati periksa kali transfer bantu
143;1;aplikasi lambat gagal login menu beranda menit
144;1;login wajah deteksi terang masya aplikasi kecewa
145;1;saldo aneh
146;1;saldo hilang transaksi mutasi aneh
147;1;akses biometri blokir
148;1;bangsat login verifikasi kuras kng pesan kirim
149;1;salah bangke
150;1;potong mybca saldo hilang password bilang tahan mutasi pemberitahuan biaya ribu nominal aplikasi livin mandiri ambil
152;1;bca potong najis kirim bersih
153;1;gagal verifikasi wajah
154;1;login gagal
155;1;aplikasi rumit salah kali masuk password lupa huruf suruh hubung verifikasi sms pulsa bca kartu bukti milik
156;1;aplikasi password blokir langgan service mahal pulsa ribu menit suruh tunggu
157;1;proses input password bangsat transfer muncul salah ganggu
158;1;ulang hapus lapor bca
159;1;aplikasi password verifikasi wajah tablet poco solusi
160;1;aplikasi reset password sulit aktif bilang transaksi lancar mybca
161;1;update memory penuh
163;1;aplikasi aneh verifikasi gagal
164;1;bca blokir aneh
166;1;aplikasi bodoh buka bilang sistem jam subuh darurat malam aneh
167;1;update bodoh
168;1;pemeliharan bayar tunggu jam
169;1;update bilang sabar halus d
170;1;saldo potong password disi lucu
171;1;transaksi gagal password transfer kali bayar kelas bca aneh
172;1;bca kali blokir password salah lucu
173;1;kolom aneh
174;1;bodoh registrasi
175;1;rumit ampun login aplikasi bank kantor cabang foto ktp wajah gagal
176;1;update bug buka susah aplikasi
177;1;palsu password transaksi bca lambat cepat qris aman marah tunggu login kesal ramai transfer
178;1;potong saldo
179;1;saldo potong
180;1;aplikasi saldo hilang catat mutasi
181;1;login temu
182;1;bank bca rumit buka rekening tabung sulit beda
183;1;layan buruk habis riset login mobile banking kantor
184;1;saldo transfer qris gagal aneh aplikasi password tulis salah bank rumit desak bayar ulang bolak malu
185;1;aplikasi logout gilir login verifikasi aktif pulsa
186;1;niat aplikasi transfer bayar qris gagal ulang login transaksi mending hapus capek cek log akun percaya
187;1;rumit akun pinjol
188;1;update susah login anjing
189;1;malam transfer jaring penuh buka aplikasi lancar
190;1;bangsat login verifikasi wajah perangkat tab bantu selesai masalah
192;1;gilir muncul cepat proses
195;1;layan buruk bilang cetak kartu paksa login rekening rumit maaf langgan service
196;1;verifikasi wajah gagal aplikasi aneh cek bantu
198;1;akun bib biar potong saldo kali rampok beban rakyat bodoh
199;1;aplikasi salah login susah
200;1;ganggu salah guna transfer transaksi moga
201;1;bingung atur logis verifikasi password ganti akun laku detik pikir pesan login menit habis pulsa bca langsung blokir spam sistem buka
202;1;kartu inti logout password login ulang verifikasi pulsa internet lancar blokir muncul
203;1;login bca suka logout verifikasi pulsa minim saldo kali alami bangsat
204;1;aplikasi bodoh lambat muat
205;1;aplikasi malam susah transaksi trading
206;1;bodoh aplikasi lambat ganggu
207;1;bayar gagal pindah dana
208;1;aplikasi buka mental
209;1;buka aplikasi login
210;1;aplikasi berat jaring normal stabil bangsat login bayar muat
211;1;transfer login detail terang jam aplikasi sulit cocok bukti mutasi rekening mohon maaf tindak keluh
212;1;nyaman salin paste nominal langsung habis update hasil titik input password selancar tamplate
213;1;proses login
215;1;maaf bca gampang blokir lelah hubung
216;1;transfer qris gagal hasil langsung kali payah
217;1;sesal download registrasi mybca potong otomatis ribu saldo bca gaji hidup rantau simpan beli butuh ragu takut
218;1;update reset password login menu kartu ulang lapor langgan service bca suruh cek jaring
219;1;login rumit contoh bni wondr video staf
220;1;suka salah
221;1;qris suka lambat kecewa
222;1;sistem salah kesan
223;1;lambat marah mybca
225;1;susah login atur rumit
226;1;aplikasi rumit asli login riset password langgan service video beda bank
227;1;verifikasi foto gagal marah
228;1;update fif pembayan lengkap
229;1;verifikasi desak masak atm
230;1;daftar mybca muat registrasi kirim sms verifikasi pulsa habis
231;1;ganggu masuk password blokir atm bimbing sekuriti open belanja qris bebas pulsa langgan service ktp update disdukcapil omg rumit owe hutang warung imbas ribu gara
232;1;aplikasi buruk reset password aneh update buka bagus
233;1;lambat anjing password masuk transfer
234;1;sumpah buruk transaksi
235;1;salah bayar qris saldo potong hilang
236;1;kirim verifikasi pulsa
237;1;buruk login muat internet lancar jaya
238;1;login susah wajah buka mulut gagal otomatis aplikasi crash tulis salah descriptor jawa runtime
239;1;salah password login
240;1;buruk salah minimal pilih kerja
241;1;bca langgan service pulsa kendala beli sedot habis
242;1;aplikasi aneh angin ujan buka jaring salah kesal password butuh mohon baik
243;1;kecewa berat setia mobile banking bca alih mybca langsung sesal gaji login potong kali mutasi saldo pergi recommended aplikasi belah selamat tinggal
244;1;login verifikasi wajah salah opsi video
245;1;download hapus
247;1;maintenance hati transaksi kendala
248;1;gagal transfer salah andal
249;1;gagal lambat
250;1;jujur alam mybca nyaman login ulang minta verifikasi jam kirim
252;1;saldo hilang
253;1;verifikasi korban pulsa
254;1;aplikasi login ganti susah bintang
255;1;bug ketik password salah
256;1;login seri
257;1;login susah ampun lokasi nyala butuh
258;1;salah masuk rekening registrasi bca mobile mybca hilang saldo bayar kuliah sial
259;1;buka rekening bca potong endap kartu atm kali langsung pindah dana miskin cocok bank
260;1;ampun bank login mybca susah
261;1;aplikasi buka sulit jaring heran
262;1;lambat super bangsat input password
263;1;verifikasi ulang lupa password rumit pulsa whatsapp zaman jarang isi bca mata saldo
264;1;bayar qris sumber dana kartu kredit
265;1;muncul password registrasi number
267;1;password isi
269;1;baca jaring qris gagal sampah
270;1;habis update berat
271;1;data seluler gagal transaksi
272;1;bintang susah login
273;1;bca buruk verifikasi login sms langgan service salah kartu pesan premius pulsa aman aplikasi mybca bank aneh
274;1;aplikasi maling saldo
275;1;update playstore tombol hapus buka sampah bca kecewa pngnya
276;1;salah malu bangke
277;1;bayar qris password salah kali ampas
278;1;alam bca password potong saldo endap konf informasi tutup rekening biaya otw kosong hapus aplikasi selamat tinggal
279;1;ganti kirim verifikasi pilih email sms pesan whatsapp via tunggu jam laku aplikasi hubung pagi wib siang bintang
282;1;rumit login
283;1;kecewa iklan layan khusus buka rekening online kelas bank sentral ktp baca alas alam maaf utara
284;1;pulsa habis registrasi
285;1;langgan service hati registrasi perilaku layan buruk cabang sintang kalbar
286;1;registrasi via bca mesin atm wilayah bank rugi langgan solusi saldo juta rekening
287;1;miskin biaya jasa
288;1;daftar rekening aplikasi mybca password login data langsung kantor cabang pental tunggu proses buka selesai total jam pulang transfer fitur transaksi finansial aktif efisien buang
289;1;reset memori aplikasi gilir login ulang verifikasi pulsa kali beli kacau
290;1;mohon fitur hapus riwayat tuju transfer
291;1;transfer bank bca ribu isi potong cek riwayat transaksi informasi
292;1;fitur cek saldo login mobile bca
293;1;masukin option
294;1;aplikasi proses verifikasi susah ulang kali komplain salah bca saldo bagus lihat coba anak ajar
295;1;login aplikasi suruh kirim verifikasi valid pulsa sedot sms buruk layan mybca bca solusi habis chat whatsapp rumit
296;1;aplikasi mybca sedia bayar ovo dana cantum tersebutdan verifikasi wajah login aman jaga
297;1;kecewa kemarin niat sisa tabung saldo gaji hilang langsung potong minggu butuh aplikasi mybca korupsi tarik
298;1;bca komplain responya
299;1;sumpah marah kecewa transfer pencet password salah kng ulang kali
300;1;salah bangsat transaksi kali
301;1;deposito valas saldo diam poket
302;1;bug lambat keyboard fix gara blokir bangsat login password
303;1;sayang bca sedia tabung bebas biaya via mobile banking bank syariah easy wadiah bri simpedes umi andal
304;1;ganggu payah
305;1;lambat kesal koreksi kota aplikasi mancing antri transaksi
306;1;update masuk countrynya aneh
307;1;aplikasi muat
308;1;logout kali verifikasi murah biaya
309;1;verifikasi sms besok gaji bank bca rumit sumpah
310;1;mutasi login saldo rupiah informasi
311;1;salah aplikasi limit tolak betah bca
312;1;salah sila jam password macet login proses transaksi beli tiket gagal ulang sedia
313;1;lambat rumit
314;1;rumit aplikasi gilir salah masuk password lupa akun sulit blokir buka suruh langgan service pulsa habis duluan tas selesai tunggu data putus
315;1;bkin rekening sma password gilir login suruh masuk verifikasi kali nyoba pulsa gara lucu aplikasi
316;1;mybca cepat blokir kali
318;1;password verifikasi wajah gagal buka
319;1;verifikasi wajah sulit suruh video masuk data sesuai tunjuk biar percaya kantor malas registrasi online aplikasi bca mobile
320;1;transparan potong saldo pemberitahuan
321;1;kali transfer wajah qris salah transaksi mybca update selesai kendala
322;1;verifikasi gagal kamera suka lambat buka
323;1;maaf gagal verifikasi mohon data cantum hapus ulang kali akun buka mybca
325;1;mybca rumit verifikasi wajah susah kalah senang pulsa bagus
326;1;kartu kredit paylater setan tolak hasil gaji atm
327;1;buruk qris gagal transfer buka aplikasi update berat bug
329;1;reset password verifikasi kirim
330;1;suka cari target temu password bantu registrasi rumit isi disi alhasil buru
331;1;verifikasi wajah tulis kacau
332;1;login susah ampun
333;1;profesional bangsat hubung ulang suruh tunggu kece jam bantu habis pulsa
334;1;lambat aplikasi bayar susah jaring stabil kendala muat
335;1;reset password bantu langgan service login blokir data aneh alhasil hapus
337;1;mutasi konfirmasi informasi main auto potong
338;1;solusi registrasi mna login notifikasi kartu pulsa isi
340;1;aplikasi buruk transaksi muat gagal data update layan
342;1;susah verifikasi wajah cabang besok suruh gagal
343;1;jaring mybca baca data aplikasi ambil lihat curi
344;1;logout buruk
