review,rating_asli,angka_text,cleaned_review,lowercase,normalisasi,tokenizing,filtering,stemming,stemming_join
ribet,1,ribet,ribet,ribet,rumit,['rumit'],['rumit'],['rumit'],rumit
"mau daftar bca ,setiap sms koneksi terputus sampe ludes pulsa udah 2 hari kya gini aja",1,"mau daftar bca ,setiap sms koneksi terputus sampe ludes pulsa udah  dua  hari kya gini aja",mau daftar bca setiap sms koneksi terputus sampe ludes pulsa udah hari kya gini aja,mau daftar bca setiap sms koneksi terputus sampe ludes pulsa udah hari kya gini aja,akan daftar bca setiap sms koneksi terputus hingga habis pulsa sudah hari seperti gini saja,"['akan', 'daftar', 'bca', 'setiap', 'sms', 'koneksi', 'terputus', 'hingga', 'habis', 'pulsa', 'sudah', 'hari', 'seperti', 'gini', 'saja']","['daftar', 'bca', 'sms', 'koneksi', 'terputus', 'habis', 'pulsa', 'gini']","['daftar', 'bca', 'sms', 'koneksi', 'putus', 'habis', 'pulsa', 'gin']",daftar bca sms koneksi putus habis pulsa gin
"bca buruk sekali orang mau masuk akun BCA sendiri aja susah bener , buka mulut buka mulut udah buka lebar lebar masih aja ga bisa",1,"bca buruk sekali orang mau masuk akun BCA sendiri aja susah bener , buka mulut buka mulut udah buka lebar lebar masih aja ga bisa",bca buruk sekali orang mau masuk akun BCA sendiri aja susah bener buka mulut buka mulut udah buka lebar lebar masih aja ga bisa,bca buruk sekali orang mau masuk akun bca sendiri aja susah bener buka mulut buka mulut udah buka lebar lebar masih aja ga bisa,bca buruk sekali orang akan masuk akun bca sendiri saja susah sangat buka mulut buka mulut sudah buka lebar lebar masih saja tidak bisa,"['bca', 'buruk', 'sekali', 'orang', 'akan', 'masuk', 'akun', 'bca', 'sendiri', 'saja', 'susah', 'sangat', 'buka', 'mulut', 'buka', 'mulut', 'sudah', 'buka', 'lebar', 'lebar', 'masih', 'saja', 'tidak', 'bisa']","['bca', 'buruk', 'orang', 'masuk', 'akun', 'bca', 'susah', 'buka', 'mulut', 'buka', 'mulut', 'buka', 'lebar', 'lebar']","['bca', 'buruk', 'orang', 'masuk', 'akun', 'bca', 'susah', 'buka', 'mulut', 'buka', 'mulut', 'buka', 'lebar', 'lebar']",bca buruk orang masuk akun bca susah buka mulut buka mulut buka lebar lebar
"sudah daftar lewat atm terus mau masuk mybca malah diblokir nomor nya aneh, coba menghubungi halobca kata cs sudah aktif tapi tetep engga bisa log in",1,"sudah daftar lewat atm terus mau masuk mybca malah diblokir nomor nya aneh, coba menghubungi halobca kata cs sudah aktif tapi tetep engga bisa log in",sudah daftar lewat atm terus mau masuk mybca malah diblokir nomor nya aneh coba menghubungi halobca kata cs sudah aktif tapi tetep enga bisa log in,sudah daftar lewat atm terus mau masuk mybca malah diblokir nomor nya aneh coba menghubungi halobca kata cs sudah aktif tapi tetep enga bisa log in,sudah daftar lewat atm terus akan masuk mybca malah diblokir nomor nya aneh coba menghubungi halobca kata customer service sudah aktif tapi tetap tidak bisa log login,"['sudah', 'daftar', 'lewat', 'atm', 'terus', 'akan', 'masuk', 'mybca', 'malah', 'diblokir', 'nomor', 'nya', 'aneh', 'coba', 'menghubungi', 'halobca', 'kata', 'customer', 'service', 'sudah', 'aktif', 'tapi', 'tetap', 'tidak', 'bisa', 'log', 'login']","['daftar', 'atm', 'masuk', 'mybca', 'diblokir', 'nomor', 'aneh', 'menghubungi', 'halobca', 'customer', 'service', 'aktif', 'log', 'login']","['daftar', 'atm', 'masuk', 'mybca', 'blokir', 'nomor', 'aneh', 'hubung', 'halobca', 'customer', 'service', 'aktif', 'log', 'login']",daftar atm masuk mybca blokir nomor aneh hubung halobca customer service aktif log login
ribet eror mulu haru download halo BCA buat bisa buka ya lgi padahal ga salah pw aneh anjir gjls,1,ribet eror mulu haru download halo BCA buat bisa buka ya lgi padahal ga salah pw aneh anjir gjls,ribet eror mulu haru download halo BCA buat bisa buka ya lgi padahal ga salah pw aneh anjir gjls,ribet eror mulu haru download halo bca buat bisa buka ya lgi padahal ga salah pw aneh anjir gjls,rumit kesalahan terus harus download halo bca buat bisa buka iya lagi padahal tidak salah password aneh anjir tidak jelas,"['rumit', 'kesalahan', 'terus', 'harus', 'download', 'halo', 'bca', 'buat', 'bisa', 'buka', 'iya', 'lagi', 'padahal', 'tidak', 'salah', 'password', 'aneh', 'anjir', 'tidak', 'jelas']","['rumit', 'kesalahan', 'download', 'halo', 'bca', 'buka', 'iya', 'salah', 'password', 'aneh', 'anjir']","['rumit', 'salah', 'download', 'halo', 'bca', 'buka', 'iya', 'salah', 'password', 'aneh', 'anjir']",rumit salah download halo bca buka iya salah password aneh anjir
"nyuruh update ke versi terbaru, padahal d play store nya udah install paling teruodate",1,"nyuruh update ke versi terbaru, padahal d play store nya udah install paling teruodate",nyuruh update ke versi terbaru padahal d play store nya udah instal paling teruodate,nyuruh update ke versi terbaru padahal d play store nya udah instal paling teruodate,nyuruh perbarui ke versi terbaru padahal di play store nya sudah unduh paling update,"['nyuruh', 'perbarui', 'ke', 'versi', 'terbaru', 'padahal', 'di', 'play', 'store', 'nya', 'sudah', 'unduh', 'paling', 'update']","['nyuruh', 'perbarui', 'versi', 'terbaru', 'play', 'store', 'unduh', 'update']","['nyuruh', 'baru', 'versi', 'baru', 'play', 'store', 'unduh', 'update']",nyuruh baru versi baru play store unduh update
my bca makin kesini makin gjls masa saldo jadi suka kepotong 50rb,1,my bca makin kesini makin gjls masa saldo jadi suka kepotong  lima  nol rb,my bca makin kesini makin gjls masa saldo jadi suka kepotong rb,my bca makin kesini makin gjls masa saldo jadi suka kepotong rb,my bca makin ke sini makin tidak jelas masa saldo jadi suka kepotong ribu,"['my', 'bca', 'makin', 'ke', 'sini', 'makin', 'tidak', 'jelas', 'masa', 'saldo', 'jadi', 'suka', 'kepotong', 'ribu']","['my', 'bca', 'saldo', 'suka', 'kepotong', 'ribu']","['my', 'bca', 'saldo', 'suka', 'potong', 'ribu']",my bca saldo suka potong ribu
kurang efektif,1,kurang efektif,kurang efektif,kurang efektif,kurang efektif,"['kurang', 'efektif']",['efektif'],['efektif'],efektif
"aplikasi nya kurang, udah berapa kali tiap transaksi qr pasti terjadi kesalahan padahal jaringan, password dan semua nya sudah benar di coba berkali kali juga tetap begitu, di buat top up ke e walt juga sama aja ngeselin.",1,"aplikasi nya kurang, udah berapa kali tiap transaksi qr pasti terjadi kesalahan padahal jaringan, password dan semua nya sudah benar di coba berkali kali juga tetap begitu, di buat top up ke e walt juga sama aja ngeselin.",aplikasi nya kurang udah berapa kali tiap transaksi qr pasti terjadi kesalahan padahal jaringan pasword dan semua nya sudah benar di coba berkali kali juga tetap begitu di buat top up ke e walt juga sama aja ngeselin,aplikasi nya kurang udah berapa kali tiap transaksi qr pasti terjadi kesalahan padahal jaringan pasword dan semua nya sudah benar di coba berkali kali juga tetap begitu di buat top up ke e walt juga sama aja ngeselin,aplikasi nya kurang sudah berapa kali tiap transaksi barcode pasti terjadi kesalahan padahal jaringan password dan semua nya sudah benar di coba berkali kali juga tetap begitu di buat top perbarui ke ke wallet juga sama saja ngeselin,"['aplikasi', 'nya', 'kurang', 'sudah', 'berapa', 'kali', 'tiap', 'transaksi', 'barcode', 'pasti', 'terjadi', 'kesalahan', 'padahal', 'jaringan', 'password', 'dan', 'semua', 'nya', 'sudah', 'benar', 'di', 'coba', 'berkali', 'kali', 'juga', 'tetap', 'begitu', 'di', 'buat', 'top', 'perbarui', 'ke', 'ke', 'wallet', 'juga', 'sama', 'saja', 'ngeselin']","['aplikasi', 'kali', 'transaksi', 'barcode', 'kesalahan', 'jaringan', 'password', 'berkali', 'kali', 'top', 'perbarui', 'wallet', 'ngeselin']","['aplikasi', 'kali', 'transaksi', 'barcode', 'salah', 'jaring', 'password', 'kali', 'kali', 'top', 'baru', 'wallet', 'ngeselin']",aplikasi kali transaksi barcode salah jaring password kali kali top baru wallet ngeselin
"ribet, verikasi wajah bbrapa kali gagal, malah terblokir, aplikasi payah",1,"ribet, verikasi wajah bbrapa kali gagal, malah terblokir, aplikasi payah",ribet verikasi wajah brapa kali gagal malah terblokir aplikasi payah,ribet verikasi wajah brapa kali gagal malah terblokir aplikasi payah,rumit verikasi wajah berapa kali gagal malah terblokir aplikasi payah,"['rumit', 'verikasi', 'wajah', 'berapa', 'kali', 'gagal', 'malah', 'terblokir', 'aplikasi', 'payah']","['rumit', 'verikasi', 'wajah', 'kali', 'gagal', 'terblokir', 'aplikasi', 'payah']","['rumit', 'verikasi', 'wajah', 'kali', 'gagal', 'blokir', 'aplikasi', 'payah']",rumit verikasi wajah kali gagal blokir aplikasi payah
KECEWA DENGAN PELAYANANNYA!,1,KECEWA DENGAN PELAYANANNYA!,KECEWA DENGAN PELAYANANYA,kecewa dengan pelayananya,kecewa dengan pelayananya,"['kecewa', 'dengan', 'pelayananya']","['kecewa', 'pelayananya']","['kecewa', 'pelayananya']",kecewa pelayananya
"Saya mau login ,giliran disuruh masukkan no HP tidak ada wilayah indonesia . Ga ada kode negara +62",1,"Saya mau login ,giliran disuruh masukkan no HP tidak ada wilayah indonesia . Ga ada kode negara + enam  dua ",Saya mau login giliran disuruh masukan no HP tidak ada wilayah indonesia Ga ada kode negara,saya mau login giliran disuruh masukan no hp tidak ada wilayah indonesia ga ada kode negara,saya akan masuk giliran disuruh masukan nomor hp tidak ada wilayah indonesia tidak ada kode negara,"['saya', 'akan', 'masuk', 'giliran', 'disuruh', 'masukan', 'nomor', 'hp', 'tidak', 'ada', 'wilayah', 'indonesia', 'tidak', 'ada', 'kode', 'negara']","['masuk', 'giliran', 'disuruh', 'masukan', 'nomor', 'hp', 'wilayah', 'indonesia', 'kode', 'negara']","['masuk', 'gilir', 'suruh', 'masuk', 'nomor', 'hp', 'wilayah', 'indonesia', 'kode', 'negara']",masuk gilir suruh masuk nomor hp wilayah indonesia kode negara
kenapah saldo di rekening bank BCA saya hilang,1,kenapah saldo di rekening bank BCA saya hilang,kenapah saldo di rekening bank BCA saya hilang,kenapah saldo di rekening bank bca saya hilang,kenapa saldo di rekening bank bca saya hilang,"['kenapa', 'saldo', 'di', 'rekening', 'bank', 'bca', 'saya', 'hilang']","['saldo', 'rekening', 'bank', 'bca', 'hilang']","['saldo', 'rekening', 'bank', 'bca', 'hilang']",saldo rekening bank bca hilang
tidak ada notif pemasukan dan pengeluaran untuk cek perlu masuk ke beberapa dulu semoga kedepannya lebih memudahkan,1,tidak ada notif pemasukan dan pengeluaran untuk cek perlu masuk ke beberapa dulu semoga kedepannya lebih memudahkan,tidak ada notif pemasukan dan pengeluaran untuk cek perlu masuk ke beberapa dulu semoga kedepanya lebih memudahkan,tidak ada notif pemasukan dan pengeluaran untuk cek perlu masuk ke beberapa dulu semoga kedepanya lebih memudahkan,tidak ada notif pemasukan dan pengeluaran untuk cek perlu masuk ke beberapa dulu semoga kedepanya lebih memudahkan,"['tidak', 'ada', 'notif', 'pemasukan', 'dan', 'pengeluaran', 'untuk', 'cek', 'perlu', 'masuk', 'ke', 'beberapa', 'dulu', 'semoga', 'kedepanya', 'lebih', 'memudahkan']","['notif', 'pemasukan', 'pengeluaran', 'cek', 'masuk', 'semoga', 'kedepanya', 'memudahkan']","['notif', 'pasu', 'keluar', 'cek', 'masuk', 'moga', 'depa', 'mudah']",notif pasu keluar cek masuk moga depa mudah
ribet banget cuma mau buat akun aja,1,ribet banget cuma mau buat akun aja,ribet banget cuma mau buat akun aja,ribet banget cuma mau buat akun aja,rumit sangat cuma akan buat akun saja,"['rumit', 'sangat', 'cuma', 'akan', 'buat', 'akun', 'saja']","['rumit', 'akun']","['rumit', 'akun']",rumit akun
kenapa dengan BCA selalu ada kendala setiap login ke my BCA,1,kenapa dengan BCA selalu ada kendala setiap login ke my BCA,kenapa dengan BCA selalu ada kendala setiap login ke my BCA,kenapa dengan bca selalu ada kendala setiap login ke my bca,kenapa dengan bca selalu ada kendala setiap masuk ke my bca,"['kenapa', 'dengan', 'bca', 'selalu', 'ada', 'kendala', 'setiap', 'masuk', 'ke', 'my', 'bca']","['bca', 'kendala', 'masuk', 'my', 'bca']","['bca', 'kendala', 'masuk', 'my', 'bca']",bca kendala masuk my bca
"saya sudah pake aplikasi ini lama, tapi kenapa yang sekarang seringkali pas mau masukin pin respon nya lambat. jadi sering kali harus nunggu untuk setiap angka pinnya masuk.. kalau di ketik dengan cepat angka sebelumnya seringkali tidak terketik. ini sangat ganggu buat saya",1,"saya sudah pake aplikasi ini lama, tapi kenapa yang sekarang seringkali pas mau masukin pin respon nya lambat. jadi sering kali harus nunggu untuk setiap angka pinnya masuk.. kalau di ketik dengan cepat angka sebelumnya seringkali tidak terketik. ini sangat ganggu buat saya",saya sudah pake aplikasi ini lama tapi kenapa yang sekarang seringkali pas mau masukin pin respon nya lambat jadi sering kali harus nunggu untuk setiap angka pinya masuk kalau di ketik dengan cepat angka sebelumnya seringkali tidak terketik ini sangat ganggu buat saya,saya sudah pake aplikasi ini lama tapi kenapa yang sekarang seringkali pas mau masukin pin respon nya lambat jadi sering kali harus nunggu untuk setiap angka pinya masuk kalau di ketik dengan cepat angka sebelumnya seringkali tidak terketik ini sangat ganggu buat saya,saya sudah pakai aplikasi ini lama tapi kenapa yang sekarang seringkali pas akan masukin password respon nya lambat jadi sering kali harus menunggu untuk setiap angka pin masuk kalau di ketik dengan cepat angka sebelum seringkali tidak terketik ini sangat ganggu buat saya,"['saya', 'sudah', 'pakai', 'aplikasi', 'ini', 'lama', 'tapi', 'kenapa', 'yang', 'sekarang', 'seringkali', 'pas', 'akan', 'masukin', 'password', 'respon', 'nya', 'lambat', 'jadi', 'sering', 'kali', 'harus', 'menunggu', 'untuk', 'setiap', 'angka', 'pin', 'masuk', 'kalau', 'di', 'ketik', 'dengan', 'cepat', 'angka', 'sebelum', 'seringkali', 'tidak', 'terketik', 'ini', 'sangat', 'ganggu', 'buat', 'saya']","['pakai', 'aplikasi', 'seringkali', 'pas', 'masukin', 'password', 'respon', 'lambat', 'kali', 'menunggu', 'angka', 'pin', 'masuk', 'ketik', 'cepat', 'angka', 'seringkali', 'terketik', 'ganggu']","['pakai', 'aplikasi', 'seringkali', 'pas', 'masukin', 'password', 'respon', 'lambat', 'kali', 'tunggu', 'angka', 'pin', 'masuk', 'ketik', 'cepat', 'angka', 'seringkali', 'ketik', 'ganggu']",pakai aplikasi seringkali pas masukin password respon lambat kali tunggu angka pin masuk ketik cepat angka seringkali ketik ganggu
"Salah masukin password 3x terblokir lalu hubungi HaloBCA buat reset password, udah bikin password baru TAPI KODE OTP SMS salah mulu padahal benar akhirnya TERBLOKIR LAGI, dah lah males pake MyBCA balik lagi ke BCAMobile aja, ribet.",1,"Salah masukin password  tiga x terblokir lalu hubungi HaloBCA buat reset password, udah bikin password baru TAPI KODE OTP SMS salah mulu padahal benar akhirnya TERBLOKIR LAGI, dah lah males pake MyBCA balik lagi ke BCAMobile aja, ribet.",Salah masukin pasword x terblokir lalu hubungi HaloBCA buat reset pasword udah bikin pasword baru TAPI KODE OTP SMS salah mulu padahal benar akhirnya TERBLOKIR LAGI dah lah males pake MyBCA balik lagi ke BCAMobile aja ribet,salah masukin pasword x terblokir lalu hubungi halobca buat reset pasword udah bikin pasword baru tapi kode otp sms salah mulu padahal benar akhirnya terblokir lagi dah lah males pake mybca balik lagi ke bcamobile aja ribet,salah masukin password kali terblokir lalu hubungi halobca buat reset password sudah membuat password baru tapi kode otp sms salah terus padahal benar akhir terblokir lagi sudah lah malas pakai mybca ulang lagi ke bca mobile saja rumit,"['salah', 'masukin', 'password', 'kali', 'terblokir', 'lalu', 'hubungi', 'halobca', 'buat', 'reset', 'password', 'sudah', 'membuat', 'password', 'baru', 'tapi', 'kode', 'otp', 'sms', 'salah', 'terus', 'padahal', 'benar', 'akhir', 'terblokir', 'lagi', 'sudah', 'lah', 'malas', 'pakai', 'mybca', 'ulang', 'lagi', 'ke', 'bca', 'mobile', 'saja', 'rumit']","['salah', 'masukin', 'password', 'kali', 'terblokir', 'hubungi', 'halobca', 'reset', 'password', 'password', 'kode', 'otp', 'sms', 'salah', 'terblokir', 'malas', 'pakai', 'mybca', 'ulang', 'bca', 'mobile', 'rumit']","['salah', 'masukin', 'password', 'kali', 'blokir', 'hubung', 'halobca', 'reset', 'password', 'password', 'kode', 'otp', 'sms', 'salah', 'blokir', 'malas', 'pakai', 'mybca', 'ulang', 'bca', 'mobile', 'rumit']",salah masukin password kali blokir hubung halobca reset password password kode otp sms salah blokir malas pakai mybca ulang bca mobile rumit
Selalu minta registrasi ulang terus menerus padahal registrasi da selesai gak bisa masuk ke akun da registrasi salah id aplikasi yang luar biasa ribet,1,Selalu minta registrasi ulang terus menerus padahal registrasi da selesai gak bisa masuk ke akun da registrasi salah id aplikasi yang luar biasa ribet,Selalu minta registrasi ulang terus menerus padahal registrasi da selesai gak bisa masuk ke akun da registrasi salah id aplikasi yang luar biasa ribet,selalu minta registrasi ulang terus menerus padahal registrasi da selesai gak bisa masuk ke akun da registrasi salah id aplikasi yang luar biasa ribet,selalu minta registrasi ulang terus menerus padahal registrasi dan selesai tidak bisa masuk ke akun dan registrasi salah id aplikasi yang luar biasa rumit,"['selalu', 'minta', 'registrasi', 'ulang', 'terus', 'menerus', 'padahal', 'registrasi', 'dan', 'selesai', 'tidak', 'bisa', 'masuk', 'ke', 'akun', 'dan', 'registrasi', 'salah', 'id', 'aplikasi', 'yang', 'luar', 'biasa', 'rumit']","['registrasi', 'ulang', 'menerus', 'registrasi', 'selesai', 'masuk', 'akun', 'registrasi', 'salah', 'id', 'aplikasi', 'rumit']","['registrasi', 'ulang', 'terus', 'registrasi', 'selesai', 'masuk', 'akun', 'registrasi', 'salah', 'id', 'aplikasi', 'rumit']",registrasi ulang terus registrasi selesai masuk akun registrasi salah id aplikasi rumit
pendebetan secara sepihak tanpa persetujuan nasabah,1,pendebetan secara sepihak tanpa persetujuan nasabah,pendebetan secara sepihak tanpa persetujuan nasabah,pendebetan secara sepihak tanpa persetujuan nasabah,pendebetan secara sepihak tanpa persetujuan nasabah,"['pendebetan', 'secara', 'sepihak', 'tanpa', 'persetujuan', 'nasabah']","['pendebetan', 'persetujuan', 'nasabah']","['debet', 'tuju', 'nasabah']",debet tuju nasabah
aplikasi tidak bisa di buka,1,aplikasi tidak bisa di buka,aplikasi tidak bisa di buka,aplikasi tidak bisa di buka,aplikasi tidak bisa di buka,"['aplikasi', 'tidak', 'bisa', 'di', 'buka']","['aplikasi', 'buka']","['aplikasi', 'buka']",aplikasi buka
JADUL SISTEM 🤫🤫,1,JADUL SISTEM 🤫🤫,JADUL SISTEM,jadul sistem,lama sistem,"['lama', 'sistem']",['sistem'],['sistem'],sistem
"tolong pihak BCA laporan saya masalah saldo saya yg TF dan kepotong di aplikasi , tapi tidak sampai ke penerima, tolong di kembalikan saldo nya",1,"tolong pihak BCA laporan saya masalah saldo saya yg TF dan kepotong di aplikasi , tapi tidak sampai ke penerima, tolong di kembalikan saldo nya",tolong pihak BCA laporan saya masalah saldo saya yg TF dan kepotong di aplikasi tapi tidak sampai ke penerima tolong di kembalikan saldo nya,tolong pihak bca laporan saya masalah saldo saya yg tf dan kepotong di aplikasi tapi tidak sampai ke penerima tolong di kembalikan saldo nya,tolong pihak bca laporan saya masalah saldo saya yang transfer dan kepotong di aplikasi tapi tidak hingga ke penerima tolong di kembalikan saldo nya,"['tolong', 'pihak', 'bca', 'laporan', 'saya', 'masalah', 'saldo', 'saya', 'yang', 'transfer', 'dan', 'kepotong', 'di', 'aplikasi', 'tapi', 'tidak', 'hingga', 'ke', 'penerima', 'tolong', 'di', 'kembalikan', 'saldo', 'nya']","['bca', 'laporan', 'saldo', 'transfer', 'kepotong', 'aplikasi', 'penerima', 'kembalikan', 'saldo']","['bca', 'lapor', 'saldo', 'transfer', 'potong', 'aplikasi', 'terima', 'kembali', 'saldo']",bca lapor saldo transfer potong aplikasi terima kembali saldo
"parah setiap update ga kira"" ,makin berat aja ini mah apk",1,"parah setiap update ga kira"" ,makin berat aja ini mah apk",parah setiap update ga kira makin berat aja ini mah apk,parah setiap update ga kira makin berat aja ini mah apk,sangat setiap perbarui tidak kira makin berat saja ini mah aplikasi,"['sangat', 'setiap', 'perbarui', 'tidak', 'kira', 'makin', 'berat', 'saja', 'ini', 'mah', 'aplikasi']","['perbarui', 'berat', 'aplikasi']","['baru', 'berat', 'aplikasi']",baru berat aplikasi
ettdah buat bayar aja gagal mulu,1,ettdah buat bayar aja gagal mulu,etdah buat bayar aja gagal mulu,etdah buat bayar aja gagal mulu,astaga buat bayar saja gagal terus,"['astaga', 'buat', 'bayar', 'saja', 'gagal', 'terus']","['astaga', 'bayar', 'gagal']","['astaga', 'bayar', 'gagal']",astaga bayar gagal
makin nyusahin harus pakek id segala GK semua ora tau id sendiri,1,makin nyusahin harus pakek id segala GK semua ora tau id sendiri,makin nyusahin harus pakek id segala GK semua ora tau id sendiri,makin nyusahin harus pakek id segala gk semua ora tau id sendiri,makin nyusahin harus pakek id segala tidak semua ora tahu id sendiri,"['makin', 'nyusahin', 'harus', 'pakek', 'id', 'segala', 'tidak', 'semua', 'ora', 'tahu', 'id', 'sendiri']","['nyusahin', 'pakek', 'id', 'ora', 'tahu', 'id']","['nyusahin', 'pakek', 'id', 'ora', 'tahu', 'id']",nyusahin pakek id ora tahu id
"verifikasi wajah gagal terus padahal sudah mengikuti instruksi di layar, ujung2 BCA id terblokir, suruh tlp Halo BCA..pulsa lg pulsa lg..",1,"verifikasi wajah gagal terus padahal sudah mengikuti instruksi di layar, ujung dua  BCA id terblokir, suruh tlp Halo BCA..pulsa lg pulsa lg..",verifikasi wajah gagal terus padahal sudah mengikuti instruksi di layar ujung BCA id terblokir suruh tlp Halo BCA pulsa lg pulsa lg,verifikasi wajah gagal terus padahal sudah mengikuti instruksi di layar ujung bca id terblokir suruh tlp halo bca pulsa lg pulsa lg,verifikasi wajah gagal terus padahal sudah mengikuti instruksi di layar ujung bca id terblokir suruh telepon halo bca pulsa lagi pulsa lagi,"['verifikasi', 'wajah', 'gagal', 'terus', 'padahal', 'sudah', 'mengikuti', 'instruksi', 'di', 'layar', 'ujung', 'bca', 'id', 'terblokir', 'suruh', 'telepon', 'halo', 'bca', 'pulsa', 'lagi', 'pulsa', 'lagi']","['verifikasi', 'wajah', 'gagal', 'mengikuti', 'instruksi', 'layar', 'ujung', 'bca', 'id', 'terblokir', 'suruh', 'telepon', 'halo', 'bca', 'pulsa', 'pulsa']","['verifikasi', 'wajah', 'gagal', 'ikut', 'instruksi', 'layar', 'ujung', 'bca', 'id', 'blokir', 'suruh', 'telepon', 'halo', 'bca', 'pulsa', 'pulsa']",verifikasi wajah gagal ikut instruksi layar ujung bca id blokir suruh telepon halo bca pulsa pulsa
"Di saat sistem lain pakai OTP internet lewat whatsaap dan semacamnya. di myBCA, pengiriman kode OTPnya pakai sms yang pulsanya pun dibebankan ke nasabah, jadul banget. zaman sekarang pakai pulsa? bukannya orang-orang pakai internet sekarang ini.",1,"Di saat sistem lain pakai OTP internet lewat whatsaap dan semacamnya. di myBCA, pengiriman kode OTPnya pakai sms yang pulsanya pun dibebankan ke nasabah, jadul banget. zaman sekarang pakai pulsa? bukannya orang-orang pakai internet sekarang ini.",Di sat sistem lain pakai OTP internet lewat whatsap dan semacamnya di myBCA pengiriman kode OTPnya pakai sms yang pulsanya pun dibebankan ke nasabah jadul banget zaman sekarang pakai pulsa bukanya orang orang pakai internet sekarang ini,di sat sistem lain pakai otp internet lewat whatsap dan semacamnya di mybca pengiriman kode otpnya pakai sms yang pulsanya pun dibebankan ke nasabah jadul banget zaman sekarang pakai pulsa bukanya orang orang pakai internet sekarang ini,di bangsat sistem lain pakai otp internet lewat whatsapp dan semacamnya di mybca pengiriman kode kode otp pakai sms yang pulsa pun dibebankan ke nasabah lama sangat zaman sekarang pakai pulsa bukanya orang orang pakai internet sekarang ini,"['di', 'bangsat', 'sistem', 'lain', 'pakai', 'otp', 'internet', 'lewat', 'whatsapp', 'dan', 'semacamnya', 'di', 'mybca', 'pengiriman', 'kode', 'kode', 'otp', 'pakai', 'sms', 'yang', 'pulsa', 'pun', 'dibebankan', 'ke', 'nasabah', 'lama', 'sangat', 'zaman', 'sekarang', 'pakai', 'pulsa', 'bukanya', 'orang', 'orang', 'pakai', 'internet', 'sekarang', 'ini']","['bangsat', 'sistem', 'pakai', 'otp', 'internet', 'whatsapp', 'semacamnya', 'mybca', 'pengiriman', 'kode', 'kode', 'otp', 'pakai', 'sms', 'pulsa', 'dibebankan', 'nasabah', 'zaman', 'pakai', 'pulsa', 'bukanya', 'orang', 'orang', 'pakai', 'internet']","['bangsat', 'sistem', 'pakai', 'otp', 'internet', 'whatsapp', 'macam', 'mybca', 'kirim', 'kode', 'kode', 'otp', 'pakai', 'sms', 'pulsa', 'beban', 'nasabah', 'zaman', 'pakai', 'pulsa', 'buka', 'orang', 'orang', 'pakai', 'internet']",bangsat sistem pakai otp internet whatsapp macam mybca kirim kode kode otp pakai sms pulsa beban nasabah zaman pakai pulsa buka orang orang pakai internet
tidak bagus layanan nya!! mempersulit/ menunggu!!! padahal duit duit nasabah!!! mau transaksi jadi sulit,1,tidak bagus layanan nya!! mempersulit/ menunggu!!! padahal duit duit nasabah!!! mau transaksi jadi sulit,tidak bagus layanan nya mempersulit menungu padahal duit duit nasabah mau transaksi jadi sulit,tidak bagus layanan nya mempersulit menungu padahal duit duit nasabah mau transaksi jadi sulit,tidak bagus layanan nya mempersulit menungu padahal duit duit nasabah akan transaksi jadi sulit,"['tidak', 'bagus', 'layanan', 'nya', 'mempersulit', 'menungu', 'padahal', 'duit', 'duit', 'nasabah', 'akan', 'transaksi', 'jadi', 'sulit']","['bagus', 'layanan', 'mempersulit', 'menungu', 'duit', 'duit', 'nasabah', 'transaksi', 'sulit']","['bagus', 'layan', 'sulit', 'tungu', 'duit', 'duit', 'nasabah', 'transaksi', 'sulit']",bagus layan sulit tungu duit duit nasabah transaksi sulit
"kenapa tidak ada pilihan negara Indonesia pada saat mau memasukkan nomor telepon, pada saat baru mau login",1,"kenapa tidak ada pilihan negara Indonesia pada saat mau memasukkan nomor telepon, pada saat baru mau login",kenapa tidak ada pilihan negara Indonesia pada sat mau memasukan nomor telepon pada sat baru mau login,kenapa tidak ada pilihan negara indonesia pada sat mau memasukan nomor telepon pada sat baru mau login,kenapa tidak ada pilihan negara indonesia pada bangsat akan memasukan nomor telepon pada bangsat baru akan masuk,"['kenapa', 'tidak', 'ada', 'pilihan', 'negara', 'indonesia', 'pada', 'bangsat', 'akan', 'memasukan', 'nomor', 'telepon', 'pada', 'bangsat', 'baru', 'akan', 'masuk']","['pilihan', 'negara', 'indonesia', 'bangsat', 'memasukan', 'nomor', 'telepon', 'bangsat', 'masuk']","['pilih', 'negara', 'indonesia', 'bangsat', 'pasu', 'nomor', 'telepon', 'bangsat', 'masuk']",pilih negara indonesia bangsat pasu nomor telepon bangsat masuk
