review,rating_asli,angka_text,cleaned_review,lowercase,normalisasi,tokenizing,filtering,stemming,stemming_join
baru update langsung error ga bisa liat saldo🗿,1,baru update langsung error ga bisa liat saldo🗿,baru update langsung eror ga bisa liat saldo,baru update langsung eror ga bisa liat saldo,baru perbarui langsung kesalahan tidak bisa liat saldo,"['baru', 'perbarui', 'langsung', 'kesalahan', 'tidak', 'bisa', 'liat', 'saldo']","['perbarui', 'langsung', 'kesalahan', 'liat', 'saldo']","['baru', 'langsung', 'salah', 'liat', 'saldo']",baru langsung salah liat saldo
jadi gabisa liat saldo,1,jadi gabisa liat saldo,jadi gabisa liat saldo,jadi gabisa liat saldo,jadi tidak bisa liat saldo,"['jadi', 'tidak', 'bisa', 'liat', 'saldo']","['liat', 'saldo']","['liat', 'saldo']",liat saldo
"setelah update malah gak tampil detail rekening, saldo nya status nya coba lagi",1,"setelah update malah gak tampil detail rekening, saldo nya status nya coba lagi",setelah update malah gak tampil detail rekening saldo nya status nya coba lagi,setelah update malah gak tampil detail rekening saldo nya status nya coba lagi,setelah perbarui malah tidak tampil detail rekening saldo nya status nya coba lagi,"['setelah', 'perbarui', 'malah', 'tidak', 'tampil', 'detail', 'rekening', 'saldo', 'nya', 'status', 'nya', 'coba', 'lagi']","['perbarui', 'tampil', 'detail', 'rekening', 'saldo', 'status']","['baru', 'tampil', 'detail', 'rekening', 'saldo', 'status']",baru tampil detail rekening saldo status
"ku pikir aku aja yg ngalamin, my bca tiba tiba tidak bisa di buka. padahal aplikasi pembayaran lain lancar lancar saja",1,"ku pikir aku aja yg ngalamin, my bca tiba tiba tidak bisa di buka. padahal aplikasi pembayaran lain lancar lancar saja",ku pikir aku aja yg ngalamin my bca tiba tiba tidak bisa di buka padahal aplikasi pembayaran lain lancar lancar saja,ku pikir aku aja yg ngalamin my bca tiba tiba tidak bisa di buka padahal aplikasi pembayaran lain lancar lancar saja,ku pikir saya saja yang alami my bca tiba tiba tidak bisa di buka padahal aplikasi pembayaran lain lancar lancar saja,"['ku', 'pikir', 'saya', 'saja', 'yang', 'alami', 'my', 'bca', 'tiba', 'tiba', 'tidak', 'bisa', 'di', 'buka', 'padahal', 'aplikasi', 'pembayaran', 'lain', 'lancar', 'lancar', 'saja']","['ku', 'pikir', 'alami', 'my', 'bca', 'buka', 'aplikasi', 'pembayaran', 'lancar', 'lancar']","['ku', 'pikir', 'alami', 'my', 'bca', 'buka', 'aplikasi', 'bayar', 'lancar', 'lancar']",ku pikir alami my bca buka aplikasi bayar lancar lancar
kenapa setelah di-update terjadi kesalahan dia bilang pas mau cek saldo,1,kenapa setelah di-update terjadi kesalahan dia bilang pas mau cek saldo,kenapa setelah di update terjadi kesalahan dia bilang pas mau cek saldo,kenapa setelah di update terjadi kesalahan dia bilang pas mau cek saldo,kenapa setelah di perbarui terjadi kesalahan dia bilang pas akan cek saldo,"['kenapa', 'setelah', 'di', 'perbarui', 'terjadi', 'kesalahan', 'dia', 'bilang', 'pas', 'akan', 'cek', 'saldo']","['perbarui', 'kesalahan', 'bilang', 'pas', 'cek', 'saldo']","['baru', 'salah', 'bilang', 'pas', 'cek', 'saldo']",baru salah bilang pas cek saldo
kok makin lelet ya apk mybca kalo emng masih perbaikan tolong scepat nya kalo emng mau gini terus semua penggun mybca mau pindah bank lain aja.. jangan gak jelas gini.. dan jngan buat jawapan yg gak jelas,1,kok makin lelet ya apk mybca kalo emng masih perbaikan tolong scepat nya kalo emng mau gini terus semua penggun mybca mau pindah bank lain aja.. jangan gak jelas gini.. dan jngan buat jawapan yg gak jelas,kok makin lelet ya apk mybca kalo emng masih perbaikan tolong scepat nya kalo emng mau gini terus semua pengun mybca mau pindah bank lain aja jangan gak jelas gini dan jngan buat jawapan yg gak jelas,kok makin lelet ya apk mybca kalo emng masih perbaikan tolong scepat nya kalo emng mau gini terus semua pengun mybca mau pindah bank lain aja jangan gak jelas gini dan jngan buat jawapan yg gak jelas,kok makin lambat iya aplikasi mybca kalau emng masih perbaikan tolong cepat nya kalau emng akan gini terus semua ingin mybca akan pindah bank lain saja jangan tidak jelas gini dan jngan buat jawab yang tidak jelas,"['kok', 'makin', 'lambat', 'iya', 'aplikasi', 'mybca', 'kalau', 'emng', 'masih', 'perbaikan', 'tolong', 'cepat', 'nya', 'kalau', 'emng', 'akan', 'gini', 'terus', 'semua', 'ingin', 'mybca', 'akan', 'pindah', 'bank', 'lain', 'saja', 'jangan', 'tidak', 'jelas', 'gini', 'dan', 'jngan', 'buat', 'jawab', 'yang', 'tidak', 'jelas']","['lambat', 'iya', 'aplikasi', 'mybca', 'emng', 'perbaikan', 'cepat', 'emng', 'gini', 'mybca', 'pindah', 'bank', 'gini', 'jngan']","['lambat', 'iya', 'aplikasi', 'mybca', 'emng', 'baik', 'cepat', 'emng', 'gin', 'mybca', 'pindah', 'bank', 'gin', 'jngan']",lambat iya aplikasi mybca emng baik cepat emng gin mybca pindah bank gin jngan
"setelah update, jadi makin buruk. Ada kesalahan terus. PARAH",1,"setelah update, jadi makin buruk. Ada kesalahan terus. PARAH",setelah update jadi makin buruk Ada kesalahan terus PARAH,setelah update jadi makin buruk ada kesalahan terus parah,setelah perbarui jadi makin buruk ada kesalahan terus sangat,"['setelah', 'perbarui', 'jadi', 'makin', 'buruk', 'ada', 'kesalahan', 'terus', 'sangat']","['perbarui', 'buruk', 'kesalahan']","['baru', 'buruk', 'salah']",baru buruk salah
aplikasi malah logout sendiri bikin ribet cs bang tidak ramah,1,aplikasi malah logout sendiri bikin ribet cs bang tidak ramah,aplikasi malah logout sendiri bikin ribet cs bang tidak ramah,aplikasi malah logout sendiri bikin ribet cs bang tidak ramah,aplikasi malah logout sendiri membuat rumit customer service bang tidak ramah,"['aplikasi', 'malah', 'logout', 'sendiri', 'membuat', 'rumit', 'customer', 'service', 'bang', 'tidak', 'ramah']","['aplikasi', 'logout', 'rumit', 'customer', 'service', 'bang', 'ramah']","['aplikasi', 'logout', 'rumit', 'customer', 'service', 'bang', 'ramah']",aplikasi logout rumit customer service bang ramah
"susah untuk di instal,",1,"susah untuk di instal,",susah untuk di instal,susah untuk di instal,susah untuk di unduh,"['susah', 'untuk', 'di', 'unduh']","['susah', 'unduh']","['susah', 'unduh']",susah unduh
"update bukan mlh bener Mlah jadi g bisa kebuka, ga usah banyak update lah udah bener"" kemaren lancar aja ini malah update ga jelas kalo kita g update muncul terus notif ny kusut dah bener aplikasi bca",1,"update bukan mlh bener Mlah jadi g bisa kebuka, ga usah banyak update lah udah bener"" kemaren lancar aja ini malah update ga jelas kalo kita g update muncul terus notif ny kusut dah bener aplikasi bca",update bukan mlh bener Mlah jadi g bisa kebuka ga usah banyak update lah udah bener kemaren lancar aja ini malah update ga jelas kalo kita g update muncul terus notif ny kusut dah bener aplikasi bca,update bukan mlh bener mlah jadi g bisa kebuka ga usah banyak update lah udah bener kemaren lancar aja ini malah update ga jelas kalo kita g update muncul terus notif ny kusut dah bener aplikasi bca,perbarui bukan malah sangat malah jadi tidak bisa kebuka tidak susah banyak perbarui lah sudah sangat kemarin lancar saja ini malah perbarui tidak jelas kalau kita tidak perbarui muncul terus notif nya kusut sudah sangat aplikasi bca,"['perbarui', 'bukan', 'malah', 'sangat', 'malah', 'jadi', 'tidak', 'bisa', 'kebuka', 'tidak', 'susah', 'banyak', 'perbarui', 'lah', 'sudah', 'sangat', 'kemarin', 'lancar', 'saja', 'ini', 'malah', 'perbarui', 'tidak', 'jelas', 'kalau', 'kita', 'tidak', 'perbarui', 'muncul', 'terus', 'notif', 'nya', 'kusut', 'sudah', 'sangat', 'aplikasi', 'bca']","['perbarui', 'kebuka', 'susah', 'perbarui', 'kemarin', 'lancar', 'perbarui', 'perbarui', 'muncul', 'notif', 'kusut', 'aplikasi', 'bca']","['baru', 'buka', 'susah', 'baru', 'kemarin', 'lancar', 'baru', 'baru', 'muncul', 'notif', 'kusut', 'aplikasi', 'bca']",baru buka susah baru kemarin lancar baru baru muncul notif kusut aplikasi bca
